,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-143.98,-0.14,0.15,61,227,21.18,1.71,7.47,1.09,6.09,104.04,248.02,0.42
0,1,BTCBUSDPerp,5,2,-44.31,-0.04,0.05,27,76,26.21,1.42,5.42,1.09,4.63,38.23,82.55,0.46
0,2,BTCBUSDPerp,5,3,-526.66,-0.53,0.53,210,756,21.74,1.85,31.7,1.21,8.84,389.22,915.88,0.42
0,3,BTCBUSDPerp,5,4,-221.94,-0.22,0.22,66,257,20.43,1.58,9.99,1.27,3.45,104.45,326.39,0.32
0,4,BTCBUSDPerp,5,5,-158.41,-0.16,0.16,75,280,21.13,1.78,10.7,1.04,6.09,133.79,292.2,0.46
0,5,BTCBUSDPerp,5,6,-50.67,-0.05,0.05,33,92,26.4,1.48,5.42,1.08,4.63,48.76,99.42,0.49
0,6,BTCBUSDPerp,15,1,-38.08,-0.04,0.08,54,155,25.84,5.08,55.02,2.02,12.73,274.38,312.46,0.88
0,7,BTCBUSDPerp,15,2,-38.36,-0.04,0.05,12,52,18.75,4.32,18.33,1.73,9.35,51.79,90.15,0.57
0,8,BTCBUSDPerp,15,3,-599.8,-0.6,0.62,261,712,26.82,4.8,24.69,2.6,42.97,1252.24,1852.04,0.68
0,9,BTCBUSDPerp,15,4,-102.86,-0.1,0.12,73,200,26.74,4.96,24.69,2.33,8.8,362.43,465.29,0.78
0,10,BTCBUSDPerp,15,5,-78.95,-0.08,0.09,71,195,26.69,4.51,55.01,2.05,12.87,320.48,399.43,0.8
0,11,BTCBUSDPerp,15,6,-75.74,-0.08,0.08,18,73,19.78,4.02,18.33,2.03,12.87,72.43,148.17,0.49
0,12,BTCBUSDPerp,30,1,-129.53,-0.13,0.16,42,99,29.79,4.32,28.85,3.14,25.08,181.44,310.97,0.58
0,13,BTCBUSDPerp,30,2,-34.92,-0.03,0.06,27,53,33.75,3.83,15.22,2.61,17.61,103.43,138.35,0.75
0,14,BTCBUSDPerp,30,3,-388.06,-0.39,0.46,195,499,28.1,8.33,49.1,4.03,21.04,1624.97,2013.03,0.81
0,15,BTCBUSDPerp,30,4,-104.22,-0.1,0.2,68,173,28.22,8.65,37.86,4.0,19.7,588.13,692.34,0.85
0,16,BTCBUSDPerp,30,5,-112.42,-0.11,0.2,59,128,31.55,5.21,31.11,3.28,25.08,307.66,420.09,0.73
0,17,BTCBUSDPerp,30,6,34.27,0.03,0.08,39,70,35.78,6.08,31.11,2.9,17.62,236.93,202.66,1.17
0,18,BTCBUSDPerp,60,1,15.03,0.02,0.1,25,38,39.68,7.96,35.16,4.84,20.49,199.02,183.98,1.08
0,19,BTCBUSDPerp,60,2,97.97,0.1,0.05,20,17,54.05,8.8,35.17,4.59,16.01,175.95,77.99,2.26
0,20,BTCBUSDPerp,60,3,-256.55,-0.26,0.35,100,270,27.03,13.37,59.87,5.9,31.91,1336.6,1593.14,0.84
0,21,BTCBUSDPerp,60,4,-167.95,-0.17,0.22,28,87,24.35,13.6,32.04,6.31,26.23,380.8,548.75,0.69
0,22,BTCBUSDPerp,60,5,-25.95,-0.03,0.11,29,49,37.18,7.72,40.9,5.1,25.77,223.79,249.74,0.9
0,23,BTCBUSDPerp,60,6,86.0,0.09,0.05,24,22,52.17,8.37,40.92,5.22,25.77,200.78,114.78,1.75
0,24,BTCBUSDPerp,120,1,-88.02,-0.09,0.12,9,19,32.14,7.17,43.46,8.03,36.8,64.49,152.51,0.42
0,25,BTCBUSDPerp,120,2,-52.7,-0.05,0.08,7,13,35.0,9.14,43.46,8.97,36.8,63.97,116.67,0.55
0,26,BTCBUSDPerp,120,3,-219.28,-0.22,0.32,45,120,27.27,15.09,37.91,7.49,29.74,678.93,898.2,0.76
0,27,BTCBUSDPerp,120,4,-4.16,-0.0,0.09,17,36,32.08,16.58,37.91,7.94,23.48,281.82,285.98,0.99
0,28,BTCBUSDPerp,120,5,-110.99,-0.11,0.15,12,25,32.43,6.47,26.25,7.55,36.8,77.67,188.66,0.41
0,29,BTCBUSDPerp,120,6,-61.73,-0.06,0.11,9,16,36.0,7.53,26.25,8.09,36.8,67.77,129.5,0.52
0,30,BTCBUSDPerp,240,1,44.46,0.04,0.08,5,11,31.25,29.65,74.89,9.44,29.19,148.27,103.81,1.43
0,31,BTCBUSDPerp,240,2,95.44,0.1,0.05,4,7,36.36,36.73,74.89,7.35,26.82,146.92,51.48,2.85
0,32,BTCBUSDPerp,240,3,-131.42,-0.13,0.21,29,64,31.18,20.1,114.03,11.16,36.7,582.83,714.25,0.82
0,33,BTCBUSDPerp,240,4,-72.46,-0.07,0.15,12,24,33.33,17.19,41.63,11.61,36.7,206.26,278.72,0.74
0,34,BTCBUSDPerp,240,5,42.03,0.04,0.08,7,17,29.17,25.82,65.24,8.16,29.19,180.75,138.73,1.3
0,35,BTCBUSDPerp,240,6,93.88,0.09,0.05,6,12,33.33,29.9,65.24,7.13,26.82,179.42,85.54,2.1
0,36,BTCBUSDPerp,360,1,-38.37,-0.04,0.08,1,4,20.0,37.09,37.09,18.87,44.38,37.09,75.46,0.49
0,37,BTCBUSDPerp,360,2,-38.37,-0.04,0.08,1,4,20.0,37.09,37.09,18.87,44.38,37.09,75.46,0.49
0,38,BTCBUSDPerp,360,3,-196.58,-0.2,0.24,17,38,30.91,17.6,80.75,13.05,48.17,299.21,495.78,0.6
