,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-11.6,-0.01,0.04,21,42,33.33,3.62,27.34,2.09,9.31,76.05,87.65,0.87
0,1,BTCBUSDPerp,5,2,-40.65,-0.04,0.04,19,39,32.76,2.0,6.84,2.02,9.31,38.08,78.73,0.48
0,2,BTCBUSDPerp,5,3,-39.11,-0.04,0.04,17,40,29.82,2.34,6.84,1.97,9.31,39.84,78.94,0.5
0,3,BTCBUSDPerp,5,4,12.76,0.01,0.03,16,27,37.21,4.31,27.34,2.08,9.31,68.94,56.18,1.23
0,4,BTCBUSDPerp,5,5,-26.43,-0.03,0.03,14,26,35.0,2.1,6.84,2.15,9.31,29.44,55.88,0.53
0,5,BTCBUSDPerp,5,6,-25.4,-0.03,0.03,12,27,30.77,2.56,6.84,2.08,9.31,30.69,56.09,0.55
0,6,BTCBUSDPerp,15,1,-4.32,-0.0,0.06,23,21,52.27,3.54,14.51,4.08,17.55,81.39,85.7,0.95
0,7,BTCBUSDPerp,15,2,-3.53,-0.0,0.06,22,21,51.16,3.74,14.51,4.08,17.55,82.17,85.7,0.96
0,8,BTCBUSDPerp,15,3,-12.88,-0.01,0.06,21,21,50.0,3.47,13.7,4.08,17.55,72.82,85.7,0.85
0,9,BTCBUSDPerp,15,4,-14.74,-0.01,0.06,17,15,53.12,3.18,13.7,4.59,17.55,54.09,68.83,0.79
0,10,BTCBUSDPerp,15,5,-13.95,-0.01,0.06,16,15,51.61,3.43,13.7,4.59,17.55,54.87,68.83,0.8
0,11,BTCBUSDPerp,15,6,-18.44,-0.02,0.06,15,15,50.0,3.36,13.7,4.59,17.55,50.39,68.83,0.73
0,12,BTCBUSDPerp,30,1,-24.5,-0.02,0.07,6,19,24.0,15.72,30.81,6.25,23.25,94.32,118.81,0.79
0,13,BTCBUSDPerp,30,2,-6.44,-0.01,0.06,6,17,26.09,16.89,30.81,6.34,23.26,101.34,107.78,0.94
0,14,BTCBUSDPerp,30,3,-15.55,-0.02,0.07,6,17,26.09,15.37,30.81,6.34,23.25,92.23,107.77,0.86
0,15,BTCBUSDPerp,30,4,2.73,0.0,0.07,4,9,30.77,18.4,30.81,7.87,23.26,73.6,70.87,1.04
0,16,BTCBUSDPerp,30,5,-1.64,-0.0,0.07,4,9,30.77,17.31,30.81,7.87,23.26,69.24,70.87,0.98
0,17,BTCBUSDPerp,30,6,-1.64,-0.0,0.07,4,9,30.77,17.31,30.81,7.87,23.26,69.24,70.87,0.98
0,18,BTCBUSDPerp,60,1,41.17,0.04,0.04,4,4,50.0,18.69,59.14,8.4,16.67,74.77,33.59,2.23
0,19,BTCBUSDPerp,60,2,35.22,0.04,0.04,4,4,50.0,17.2,53.19,8.4,16.67,68.81,33.59,2.05
0,20,BTCBUSDPerp,60,3,35.22,0.04,0.04,4,4,50.0,17.2,53.19,8.4,16.67,68.81,33.59,2.05
0,21,BTCBUSDPerp,60,4,46.44,0.05,0.03,4,3,57.14,18.69,59.14,9.44,16.67,74.77,28.32,2.64
0,22,BTCBUSDPerp,60,5,40.5,0.04,0.03,4,3,57.14,17.2,53.19,9.44,16.67,68.81,28.32,2.43
0,23,BTCBUSDPerp,60,6,40.5,0.04,0.03,4,3,57.14,17.2,53.19,9.44,16.67,68.81,28.32,2.43
0,24,BTCBUSDPerp,120,1,36.02,0.04,0.06,4,4,50.0,22.92,61.43,13.92,18.91,91.68,55.66,1.65
0,25,BTCBUSDPerp,120,2,36.02,0.04,0.06,4,4,50.0,22.92,61.43,13.92,18.91,91.68,55.66,1.65
0,26,BTCBUSDPerp,120,3,-18.44,-0.02,0.06,3,4,42.86,12.41,26.2,13.92,18.91,37.23,55.66,0.67
0,27,BTCBUSDPerp,120,4,57.45,0.06,0.05,4,2,66.67,22.92,61.45,17.13,18.92,91.7,34.25,2.68
0,28,BTCBUSDPerp,120,5,57.45,0.06,0.05,4,2,66.67,22.92,61.45,17.13,18.92,91.7,34.25,2.68
0,29,BTCBUSDPerp,120,6,2.98,0.0,0.04,3,2,60.0,12.41,26.2,17.13,18.92,37.24,34.25,1.09
0,30,BTCBUSDPerp,240,1,44.75,0.04,0.05,3,2,60.0,18.01,25.82,4.64,7.54,54.03,9.28,5.82
0,31,BTCBUSDPerp,240,2,44.75,0.04,0.05,3,2,60.0,18.01,25.82,4.64,7.54,54.03,9.28,5.82
0,32,BTCBUSDPerp,240,3,44.75,0.04,0.05,3,2,60.0,18.01,25.82,4.64,7.54,54.03,9.28,5.82
0,33,BTCBUSDPerp,240,4,44.75,0.04,0.05,3,2,60.0,18.01,25.82,4.64,7.54,54.03,9.28,5.82
0,34,BTCBUSDPerp,240,5,44.75,0.04,0.05,3,2,60.0,18.01,25.82,4.64,7.54,54.03,9.28,5.82
0,35,BTCBUSDPerp,240,6,44.75,0.04,0.05,3,2,60.0,18.01,25.82,4.64,7.54,54.03,9.28,5.82
0,36,BTCBUSDPerp,360,1,-135.02,-0.14,0.14,0,3,0.0,0.0,0.0,45.01,97.85,0.0,135.02,0.0
0,37,BTCBUSDPerp,360,2,-135.02,-0.14,0.14,0,3,0.0,0.0,0.0,45.01,97.85,0.0,135.02,0.0
0,38,BTCBUSDPerp,360,3,-135.02,-0.14,0.14,0,3,0.0,0.0,0.0,45.01,97.85,0.0,135.02,0.0
0,39,BTCBUSDPerp,360,4,-135.02,-0.14,0.14,0,3,0.0,0.0,0.0,45.01,97.85,0.0,135.02,0.0
0,40,BTCBUSDPerp,360,5,-135.02,-0.14,0.14,0,3,0.0,0.0,0.0,45.01,97.85,0.0,135.02,0.0
0,41,BTCBUSDPerp,360,6,-135.02,-0.14,0.14,0,3,0.0,0.0,0.0,45.01,97.85,0.0,135.02,0.0
0,42,ETHBUSDPerp,5,1,-49.34,-0.05,0.06,18,42,30.0,2.42,7.18,2.21,9.72,43.48,92.82,0.47
0,43,ETHBUSDPerp,5,2,-50.94,-0.05,0.07,16,42,27.59,2.35,7.18,2.11,9.72,37.66,88.6,0.43
0,44,ETHBUSDPerp,5,3,-51.47,-0.05,0.06,15,41,26.79,2.42,7.52,2.14,9.72,36.29,87.76,0.41
0,45,ETHBUSDPerp,5,4,-32.34,-0.03,0.04,9,24,27.27,1.47,3.69,1.9,5.07,13.22,45.56,0.29
0,46,ETHBUSDPerp,5,5,-39.76,-0.04,0.05,7,25,21.88,1.06,3.69,1.89,5.07,7.4,47.16,0.16
0,47,ETHBUSDPerp,5,6,-39.35,-0.04,0.05,6,24,20.0,1.16,3.69,1.93,5.07,6.97,46.32,0.15
0,48,ETHBUSDPerp,15,1,23.89,0.02,0.07,26,21,55.32,6.56,55.47,6.99,48.26,170.6,146.71,1.16
0,49,ETHBUSDPerp,15,2,64.42,0.06,0.03,26,18,59.09,5.86,37.2,4.88,31.5,152.35,87.92,1.73
0,50,ETHBUSDPerp,15,3,52.37,0.05,0.03,25,18,58.14,5.61,32.15,4.88,31.5,140.29,87.92,1.6
0,51,ETHBUSDPerp,15,4,25.93,0.03,0.07,18,11,62.07,7.94,55.48,10.63,48.26,142.85,116.92,1.22
0,52,ETHBUSDPerp,15,5,55.92,0.06,0.03,18,10,64.29,6.92,37.19,6.87,31.5,124.58,68.65,1.81
0,53,ETHBUSDPerp,15,6,43.87,0.04,0.03,17,10,62.96,6.62,32.15,6.86,31.5,112.52,68.65,1.64
0,54,ETHBUSDPerp,30,1,-68.1,-0.07,0.1,7,17,29.17,10.7,29.1,8.41,33.75,74.9,142.99,0.52
0,55,ETHBUSDPerp,30,2,-68.1,-0.07,0.1,7,17,29.17,10.7,29.1,8.41,33.75,74.9,142.99,0.52
0,56,ETHBUSDPerp,30,3,-62.11,-0.06,0.09,7,16,30.43,10.7,29.11,8.56,33.76,74.9,137.01,0.55
0,57,ETHBUSDPerp,30,4,-64.64,-0.06,0.07,2,12,14.29,20.33,29.11,8.78,33.76,40.67,105.31,0.39
0,58,ETHBUSDPerp,30,5,-64.64,-0.06,0.07,2,12,14.29,20.33,29.11,8.78,33.76,40.67,105.31,0.39
0,59,ETHBUSDPerp,30,6,-58.66,-0.06,0.06,2,11,15.38,20.34,29.11,9.03,33.77,40.67,99.33,0.41
0,60,ETHBUSDPerp,60,1,-21.93,-0.02,0.05,3,9,25.0,11.47,17.69,6.26,14.8,34.4,56.33,0.61
0,61,ETHBUSDPerp,60,2,-21.93,-0.02,0.05,3,9,25.0,11.47,17.69,6.26,14.8,34.4,56.33,0.61
0,62,ETHBUSDPerp,60,3,-21.93,-0.02,0.05,3,9,25.0,11.47,17.69,6.26,14.8,34.4,56.33,0.61
0,63,ETHBUSDPerp,60,4,-11.33,-0.01,0.03,2,5,28.57,8.36,16.06,5.61,11.49,16.71,28.04,0.6
0,64,ETHBUSDPerp,60,5,-11.33,-0.01,0.03,2,5,28.57,8.36,16.06,5.61,11.49,16.71,28.04,0.6
0,65,ETHBUSDPerp,60,6,-11.33,-0.01,0.03,2,5,28.57,8.36,16.06,5.61,11.49,16.71,28.04,0.6
0,66,ETHBUSDPerp,120,1,-44.56,-0.04,0.04,0,1,0.0,0.0,0.0,44.56,44.56,0.0,44.56,0.0
0,67,ETHBUSDPerp,120,2,-44.56,-0.04,0.04,0,1,0.0,0.0,0.0,44.56,44.56,0.0,44.56,0.0
0,68,ETHBUSDPerp,120,3,-44.56,-0.04,0.04,0,1,0.0,0.0,0.0,44.56,44.56,0.0,44.56,0.0
0,69,ETHBUSDPerp,120,4,-44.56,-0.04,0.04,0,1,0.0,0.0,0.0,44.56,44.56,0.0,44.56,0.0
0,70,ETHBUSDPerp,120,5,-44.56,-0.04,0.04,0,1,0.0,0.0,0.0,44.56,44.56,0.0,44.56,0.0
0,71,ETHBUSDPerp,120,6,-44.56,-0.04,0.04,0,1,0.0,0.0,0.0,44.56,44.56,0.0,44.56,0.0
0,72,ETHBUSDPerp,240,1,-56.18,-0.06,0.06,0,2,0.0,0.0,0.0,28.09,29.77,0.0,56.18,0.0
0,73,ETHBUSDPerp,240,2,-29.77,-0.03,0.03,0,1,0.0,0.0,0.0,29.77,29.77,0.0,29.77,0.0
0,74,ETHBUSDPerp,240,3,-29.77,-0.03,0.03,0,1,0.0,0.0,0.0,29.77,29.77,0.0,29.77,0.0
0,75,ETHBUSDPerp,240,4,-56.18,-0.06,0.06,0,2,0.0,0.0,0.0,28.09,29.77,0.0,56.18,0.0
0,76,ETHBUSDPerp,240,5,-29.77,-0.03,0.03,0,1,0.0,0.0,0.0,29.77,29.77,0.0,29.77,0.0
0,77,ETHBUSDPerp,240,6,-29.77,-0.03,0.03,0,1,0.0,0.0,0.0,29.77,29.77,0.0,29.77,0.0
0,78,ETHBUSDPerp,360,1,-0.74,-0.0,0.01,0,1,0.0,0.0,0.0,0.74,0.74,0.0,0.74,0.0
0,79,ETHBUSDPerp,360,2,-0.74,-0.0,0.01,0,1,0.0,0.0,0.0,0.74,0.74,0.0,0.74,0.0
0,80,ETHBUSDPerp,360,3,-0.74,-0.0,0.01,0,1,0.0,0.0,0.0,0.74,0.74,0.0,0.74,0.0
0,81,ETHBUSDPerp,360,4,-0.74,-0.0,0.01,0,1,0.0,0.0,0.0,0.74,0.74,0.0,0.74,0.0
0,82,ETHBUSDPerp,360,5,-0.74,-0.0,0.01,0,1,0.0,0.0,0.0,0.74,0.74,0.0,0.74,0.0
0,83,ETHBUSDPerp,360,6,-0.74,-0.0,0.01,0,1,0.0,0.0,0.0,0.74,0.74,0.0,0.74,0.0
0,84,BNBBUSDPerp,5,1,-55.35,-0.06,0.07,8,44,15.38,4.28,19.49,2.04,8.82,34.23,89.58,0.38
0,85,BNBBUSDPerp,5,2,-46.88,-0.05,0.06,8,41,16.33,4.29,19.49,1.98,8.82,34.3,81.18,0.42
0,86,BNBBUSDPerp,5,3,-66.36,-0.07,0.07,7,41,14.58,2.12,4.95,1.98,8.82,14.81,81.17,0.18
0,87,BNBBUSDPerp,5,4,-32.03,-0.03,0.04,3,24,11.11,6.99,19.49,2.21,8.82,20.98,53.0,0.4
0,88,BNBBUSDPerp,5,5,-23.62,-0.02,0.04,3,21,12.5,6.99,19.49,2.12,8.82,20.98,44.6,0.47
0,89,BNBBUSDPerp,5,6,-43.1,-0.04,0.05,2,21,8.7,0.74,1.26,2.12,8.82,1.49,44.59,0.03
0,90,BNBBUSDPerp,15,1,-56.92,-0.06,0.08,14,41,25.45,9.6,40.68,4.67,27.69,134.47,191.39,0.7
0,91,BNBBUSDPerp,15,2,-68.3,-0.07,0.09,13,37,26.0,8.57,29.03,4.86,27.69,111.42,179.72,0.62
0,92,BNBBUSDPerp,15,3,-67.72,-0.07,0.09,13,37,26.0,8.62,28.36,4.86,27.69,112.0,179.72,0.62
0,93,BNBBUSDPerp,15,4,3.41,0.0,0.05,11,23,32.35,11.56,40.69,5.38,27.7,127.17,123.76,1.03
0,94,BNBBUSDPerp,15,5,-5.91,-0.01,0.05,11,20,35.48,9.77,29.04,5.67,27.7,107.44,113.35,0.95
0,95,BNBBUSDPerp,15,6,-5.33,-0.01,0.05,11,20,35.48,9.82,28.36,5.67,27.7,108.02,113.35,0.95
0,96,BNBBUSDPerp,30,1,-76.21,-0.08,0.12,6,18,25.0,17.33,29.5,10.01,48.03,104.0,180.21,0.58
0,97,BNBBUSDPerp,30,2,-28.17,-0.03,0.08,6,17,26.09,17.34,29.51,7.78,29.45,104.02,132.19,0.79
0,98,BNBBUSDPerp,30,3,-7.7,-0.01,0.07,7,16,30.43,16.57,40.91,7.73,29.45,115.98,123.68,0.94
0,99,BNBBUSDPerp,30,4,-30.16,-0.03,0.07,5,12,29.41,15.88,29.51,9.13,29.45,79.42,109.58,0.72
0,100,BNBBUSDPerp,30,5,-30.16,-0.03,0.07,5,12,29.41,15.88,29.51,9.13,29.45,79.42,109.58,0.72
0,101,BNBBUSDPerp,30,6,-33.65,-0.03,0.07,5,12,29.41,15.19,40.92,9.13,29.46,75.94,109.59,0.69
0,102,BNBBUSDPerp,60,1,32.84,0.03,0.03,6,3,66.67,8.93,36.58,6.92,13.21,53.59,20.75,2.58
0,103,BNBBUSDPerp,60,2,32.84,0.03,0.03,6,3,66.67,8.93,36.58,6.92,13.21,53.59,20.75,2.58
0,104,BNBBUSDPerp,60,3,15.06,0.02,0.03,6,3,66.67,5.97,18.81,6.92,13.21,35.81,20.75,1.73
0,105,BNBBUSDPerp,60,4,24.54,0.02,0.03,3,3,50.0,15.1,36.58,6.92,13.21,45.29,20.75,2.18
0,106,BNBBUSDPerp,60,5,24.54,0.02,0.03,3,3,50.0,15.1,36.58,6.92,13.21,45.29,20.75,2.18
0,107,BNBBUSDPerp,60,6,6.76,0.01,0.03,3,3,50.0,9.17,18.81,6.92,13.21,27.51,20.75,1.33
0,108,BNBBUSDPerp,120,1,77.06,0.08,0.03,3,4,42.86,39.69,100.98,10.5,13.98,119.06,42.0,2.83
0,109,BNBBUSDPerp,120,2,77.06,0.08,0.03,3,4,42.86,39.69,100.98,10.5,13.98,119.06,42.0,2.83
0,110,BNBBUSDPerp,120,3,77.06,0.08,0.03,3,4,42.86,39.69,100.98,10.5,13.98,119.06,42.0,2.83
0,111,BNBBUSDPerp,120,4,114.01,0.11,0.01,3,1,75.0,39.69,101.0,5.07,5.07,119.08,5.07,23.49
