,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-2533.6,-2.53,2.56,1070,3109,25.6,1.86,28.19,1.46,24.58,1991.23,4524.84,0.44
0,1,BTCBUSDPerp,5,2,-2588.85,-2.59,2.6,1164,3264,26.29,1.69,28.21,1.4,24.59,1970.07,4558.92,0.43
0,2,BTCBUSDPerp,15,1,-2680.2,-2.68,2.69,1459,2694,35.13,4.14,46.55,3.24,70.93,6042.0,8722.2,0.69
0,3,BTCBUSDPerp,15,2,-2825.42,-2.83,2.84,1577,2851,35.61,3.88,46.5,3.14,70.84,6118.82,8944.24,0.68
0,4,BTCBUSDPerp,30,1,-2157.09,-2.16,2.23,1145,2017,36.21,7.28,143.59,5.2,75.81,8337.78,10494.86,0.79
0,5,BTCBUSDPerp,30,2,-2441.68,-2.44,2.55,1256,2119,37.21,6.69,58.61,5.12,75.61,8400.68,10842.35,0.77
0,6,BTCBUSDPerp,60,1,-444.29,-0.44,0.76,578,977,37.17,11.27,79.72,7.12,49.27,6515.52,6959.81,0.94
0,7,BTCBUSDPerp,60,2,-267.94,-0.27,0.58,658,1008,39.5,10.19,79.7,6.92,49.88,6707.13,6975.08,0.96
0,8,BTCBUSDPerp,120,1,-373.55,-0.37,0.84,307,519,37.17,16.13,91.88,10.26,92.92,4952.28,5325.83,0.93
0,9,BTCBUSDPerp,120,2,-371.08,-0.37,0.82,340,540,38.64,14.87,91.09,10.05,92.9,5056.42,5427.5,0.93
0,10,BTCBUSDPerp,240,1,-184.68,-0.18,0.6,159,254,38.5,23.46,108.97,15.41,98.56,3729.81,3914.49,0.95
0,11,BTCBUSDPerp,240,2,-563.08,-0.56,0.99,164,278,37.1,21.48,102.59,14.7,98.56,3522.7,4085.78,0.86
0,12,BTCBUSDPerp,360,1,-478.71,-0.48,0.7,103,170,37.73,25.29,95.85,18.14,105.67,2604.79,3083.5,0.84
0,13,BTCBUSDPerp,360,2,-414.77,-0.41,0.74,117,170,40.77,23.16,87.72,18.38,98.59,2709.82,3124.58,0.87
0,14,ETHBUSDPerp,5,1,-2771.44,-2.77,2.83,1191,3012,28.34,2.36,36.87,1.85,42.43,2806.77,5578.2,0.5
0,15,ETHBUSDPerp,5,2,-2807.74,-2.81,2.87,1316,3157,29.42,2.15,36.87,1.79,42.45,2835.17,5642.91,0.5
0,16,ETHBUSDPerp,15,1,-2370.72,-2.37,2.39,1469,2602,36.08,5.88,71.23,4.23,113.8,8634.88,11005.6,0.78
0,17,ETHBUSDPerp,15,2,-2368.99,-2.37,2.41,1611,2718,37.21,5.36,66.49,4.05,113.88,8639.48,11008.47,0.78
0,18,ETHBUSDPerp,30,1,-971.62,-0.97,1.09,898,1559,36.55,9.68,106.9,6.2,65.29,8692.73,9664.35,0.9
0,19,ETHBUSDPerp,30,2,-1220.56,-1.22,1.39,1001,1632,38.02,8.56,106.68,6.0,65.15,8569.16,9789.72,0.88
0,20,ETHBUSDPerp,60,1,-341.96,-0.34,0.59,495,736,40.21,12.08,106.95,8.59,73.61,5978.68,6320.64,0.95
0,21,ETHBUSDPerp,60,2,-491.18,-0.49,0.82,534,771,40.92,11.4,106.7,8.53,73.43,6085.53,6576.71,0.93
0,22,ETHBUSDPerp,120,1,72.34,0.07,0.45,228,370,38.13,19.61,102.44,11.89,78.77,4470.67,4398.33,1.02
0,23,ETHBUSDPerp,120,2,75.08,0.08,0.41,270,384,41.28,16.68,102.36,11.53,78.75,4502.26,4427.18,1.02
0,24,ETHBUSDPerp,240,1,14.97,0.01,0.48,135,202,40.06,25.68,136.49,17.09,105.04,3466.39,3451.41,1.0
0,25,ETHBUSDPerp,240,2,-255.09,-0.26,0.52,145,212,40.62,23.43,115.39,17.23,104.91,3397.12,3652.2,0.93
0,26,ETHBUSDPerp,360,1,-36.24,-0.04,0.53,90,132,40.54,30.04,135.99,20.75,75.3,2703.38,2739.62,0.99
0,27,ETHBUSDPerp,360,2,-88.23,-0.09,0.59,100,137,42.19,26.5,99.0,19.99,75.37,2650.22,2738.45,0.97
0,28,BNBBUSDPerp,5,1,-2430.65,-2.43,2.45,1241,2961,29.53,2.47,36.04,1.86,47.84,3062.75,5493.39,0.56
0,29,BNBBUSDPerp,5,2,-2668.59,-2.67,2.7,1347,3149,29.96,2.17,32.34,1.78,47.84,2922.22,5590.81,0.52
