,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-4356.65,-4.36,4.36,1713,5282,24.49,1.53,26.65,1.32,26.22,2617.49,6974.14,0.38
0,1,BTCBUSDPerp,5,2,-4417.45,-4.42,4.42,1770,5457,24.49,1.5,25.66,1.3,26.21,2657.1,7074.55,0.38
0,2,BTCBUSDPerp,5,3,-4348.09,-4.35,4.36,1708,5262,24.51,1.52,26.65,1.32,26.22,2601.48,6949.58,0.37
0,3,BTCBUSDPerp,5,4,-4402.74,-4.4,4.41,1764,5434,24.51,1.5,25.66,1.3,26.21,2639.5,7042.24,0.37
0,4,BTCBUSDPerp,15,1,-3623.66,-3.62,3.66,2151,4090,34.47,3.63,55.35,2.79,45.88,7798.45,11422.12,0.68
0,5,BTCBUSDPerp,15,2,-3751.41,-3.75,3.79,2251,4256,34.59,3.48,55.3,2.72,45.82,7826.81,11578.22,0.68
0,6,BTCBUSDPerp,15,3,-3663.8,-3.66,3.7,2150,4080,34.51,3.59,55.34,2.79,45.87,7727.83,11391.63,0.68
0,7,BTCBUSDPerp,15,4,-3793.65,-3.79,3.83,2249,4247,34.62,3.45,55.29,2.72,45.81,7753.89,11547.54,0.67
0,8,BTCBUSDPerp,30,1,-3416.57,-3.42,3.47,1893,3065,38.18,5.55,116.72,4.54,53.07,10500.44,13917.01,0.75
0,9,BTCBUSDPerp,30,2,-3417.07,-3.42,3.47,1964,3133,38.53,5.39,108.52,4.47,53.06,10582.82,13999.89,0.76
0,10,BTCBUSDPerp,30,3,-3375.44,-3.38,3.43,1894,3064,38.2,5.53,116.74,4.52,53.07,10482.04,13857.47,0.76
0,11,BTCBUSDPerp,30,4,-3382.16,-3.38,3.44,1965,3132,38.55,5.38,108.54,4.45,53.06,10563.85,13946.01,0.76
0,12,BTCBUSDPerp,60,1,-1267.71,-1.27,1.58,969,1376,41.32,7.89,106.89,6.48,59.9,7649.12,8916.83,0.86
0,13,BTCBUSDPerp,60,2,-1228.63,-1.23,1.55,1013,1407,41.86,7.65,106.9,6.38,59.94,7748.25,8976.88,0.86
0,14,BTCBUSDPerp,60,3,-1250.7,-1.25,1.56,969,1368,41.46,7.82,106.89,6.46,59.9,7582.01,8832.71,0.86
0,15,BTCBUSDPerp,60,4,-1207.55,-1.21,1.53,1013,1398,42.02,7.58,106.9,6.36,59.94,7681.44,8888.99,0.86
0,16,BTCBUSDPerp,120,1,-128.43,-0.13,0.93,523,711,42.38,11.64,161.78,8.74,61.47,6088.18,6216.61,0.98
0,17,BTCBUSDPerp,120,2,-456.28,-0.46,1.19,531,746,41.58,11.12,154.6,8.53,57.48,5905.3,6361.58,0.93
0,18,BTCBUSDPerp,120,3,-126.62,-0.13,0.94,524,704,42.67,11.54,161.78,8.77,61.46,6048.87,6175.49,0.98
0,19,BTCBUSDPerp,120,4,-460.62,-0.46,1.21,532,740,41.82,11.03,154.6,8.55,57.47,5866.1,6326.72,0.93
0,20,BTCBUSDPerp,240,1,-51.28,-0.05,0.71,238,332,41.75,17.12,225.8,12.43,85.25,4074.53,4125.81,0.99
0,21,BTCBUSDPerp,240,2,-382.9,-0.38,1.06,247,342,41.94,15.86,239.62,12.57,85.18,3916.73,4299.64,0.91
0,22,BTCBUSDPerp,240,3,-158.75,-0.16,0.81,238,334,41.61,16.75,225.62,12.41,85.18,3987.19,4145.93,0.96
0,23,BTCBUSDPerp,240,4,-489.65,-0.49,1.17,247,344,41.79,15.51,239.42,12.56,85.11,3829.96,4319.62,0.89
0,24,BTCBUSDPerp,360,1,-238.73,-0.24,0.62,151,216,41.14,20.91,165.71,15.72,112.59,3157.48,3396.2,0.93
0,25,BTCBUSDPerp,360,2,-219.37,-0.22,0.66,158,224,41.36,20.09,134.58,15.15,112.66,3174.44,3393.81,0.94
0,26,BTCBUSDPerp,360,3,-260.03,-0.26,0.62,151,215,41.26,20.56,165.71,15.65,112.59,3104.69,3364.72,0.92
0,27,BTCBUSDPerp,360,4,-249.84,-0.25,0.62,158,223,41.47,19.7,120.56,15.08,112.66,3112.31,3362.15,0.93
0,28,ETHBUSDPerp,5,1,-4484.05,-4.48,4.48,1948,5104,27.62,2.03,82.4,1.65,49.23,3946.89,8430.94,0.47
0,29,ETHBUSDPerp,5,2,-4578.16,-4.58,4.58,2022,5253,27.79,1.98,79.88,1.64,49.22,4013.6,8591.76,0.47
0,30,ETHBUSDPerp,5,3,-4463.13,-4.46,4.46,1946,5089,27.66,2.02,82.41,1.65,49.23,3927.13,8390.27,0.47
0,31,ETHBUSDPerp,5,4,-4560.36,-4.56,4.56,2020,5239,27.83,1.98,79.89,1.63,49.22,3993.46,8553.82,0.47
0,32,ETHBUSDPerp,15,1,-3316.37,-3.32,3.35,2409,3950,37.88,4.42,75.74,3.54,69.66,10651.35,13967.72,0.76
0,33,ETHBUSDPerp,15,2,-3440.64,-3.44,3.47,2533,4100,38.19,4.29,75.76,3.49,69.64,10862.63,14303.27,0.76
0,34,ETHBUSDPerp,15,3,-3271.98,-3.27,3.3,2407,3935,37.95,4.4,65.6,3.52,69.69,10584.52,13856.5,0.76
0,35,ETHBUSDPerp,15,4,-3364.08,-3.36,3.39,2532,4080,38.29,4.27,67.8,3.47,69.68,10799.43,14163.52,0.76
0,36,ETHBUSDPerp,30,1,-2626.95,-2.63,2.77,1601,2394,40.08,6.29,89.31,5.31,98.39,10077.99,12704.94,0.79
0,37,ETHBUSDPerp,30,2,-2639.2,-2.64,2.74,1663,2461,40.32,6.05,89.33,5.16,98.51,10064.49,12703.68,0.79
0,38,ETHBUSDPerp,30,3,-2606.35,-2.61,2.78,1602,2390,40.13,6.27,89.34,5.29,98.46,10045.62,12651.96,0.79
0,39,ETHBUSDPerp,30,4,-2618.49,-2.62,2.75,1664,2457,40.38,6.03,89.37,5.15,98.58,10032.2,12650.69,0.79
0,40,ETHBUSDPerp,60,1,-1171.76,-1.17,1.33,804,1116,41.88,8.9,149.16,7.46,58.15,7151.85,8323.61,0.86
0,41,ETHBUSDPerp,60,2,-1199.0,-1.2,1.47,845,1155,42.25,8.61,149.26,7.34,58.13,7274.93,8473.93,0.86
0,42,ETHBUSDPerp,60,3,-1247.02,-1.25,1.41,803,1118,41.8,8.88,149.16,7.49,58.11,7130.43,8377.45,0.85
0,43,ETHBUSDPerp,60,4,-1261.74,-1.26,1.51,845,1156,42.23,8.56,149.26,7.35,58.1,7235.01,8496.75,0.85
0,44,ETHBUSDPerp,120,1,-243.09,-0.24,0.88,442,543,44.87,12.93,180.08,10.97,73.28,5716.21,5959.31,0.96
0,45,ETHBUSDPerp,120,2,-421.64,-0.42,0.9,444,567,43.92,12.63,167.02,10.63,73.24,5606.57,6028.21,0.93
0,46,ETHBUSDPerp,120,3,-162.82,-0.16,0.8,442,539,45.06,12.92,180.08,10.9,73.3,5711.63,5874.45,0.97
0,47,ETHBUSDPerp,120,4,-337.47,-0.34,0.81,444,563,44.09,12.63,167.02,10.56,73.26,5606.07,5943.54,0.94
0,48,ETHBUSDPerp,240,1,51.85,0.05,0.5,197,267,42.46,19.88,268.0,14.48,83.91,3916.82,3864.96,1.01
0,49,ETHBUSDPerp,240,2,420.01,0.42,0.45,210,263,44.4,19.75,234.87,14.17,83.96,4147.01,3727.0,1.11
0,50,ETHBUSDPerp,240,3,62.28,0.06,0.5,197,266,42.55,19.88,268.0,14.49,83.91,3916.9,3854.62,1.02
0,51,ETHBUSDPerp,240,4,430.48,0.43,0.45,210,262,44.49,19.75,234.87,14.19,83.96,4147.11,3716.63,1.12
0,52,ETHBUSDPerp,360,1,-160.73,-0.16,0.53,132,166,44.3,22.2,207.7,18.62,87.93,2930.35,3091.08,0.95
0,53,ETHBUSDPerp,360,2,-121.19,-0.12,0.53,134,170,44.08,21.94,205.69,18.01,87.94,2939.78,3060.98,0.96
0,54,ETHBUSDPerp,360,3,-110.2,-0.11,0.5,132,164,44.59,22.21,207.8,18.55,87.95,2931.24,3041.44,0.96
