,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-418.58,-0.42,0.43,157,485,24.45,1.64,8.94,1.39,10.53,256.78,675.36,0.38
0,1,BTCBUSDPerp,5,2,-281.12,-0.28,0.31,118,450,20.77,3.34,32.5,1.5,10.53,393.58,674.71,0.58
0,4,BTCBUSDPerp,5,5,-107.7,-0.11,0.12,60,158,27.52,1.51,7.8,1.25,3.01,90.33,198.04,0.46
0,5,BTCBUSDPerp,5,6,-62.81,-0.06,0.1,43,146,22.75,3.15,13.69,1.36,4.52,135.63,198.44,0.68
0,8,BTCBUSDPerp,15,1,-786.59,-0.79,0.81,191,486,28.21,4.04,14.8,3.21,50.76,772.54,1559.13,0.5
0,9,BTCBUSDPerp,15,2,-899.4,-0.9,0.91,109,515,17.47,7.58,34.82,3.35,50.72,826.47,1725.87,0.48
0,10,BTCBUSDPerp,15,3,-10.3,-0.01,0.03,8,8,50.0,3.75,14.8,5.04,7.86,30.0,40.3,0.74
0,11,BTCBUSDPerp,15,4,-17.61,-0.02,0.03,7,9,43.75,3.82,13.26,4.93,7.86,26.75,44.36,0.6
0,12,BTCBUSDPerp,15,5,-110.93,-0.11,0.13,53,118,30.99,4.13,14.8,2.8,10.03,218.95,329.87,0.66
0,13,BTCBUSDPerp,15,6,-151.18,-0.15,0.17,31,128,19.5,6.87,23.79,2.85,10.02,213.04,364.22,0.58
0,14,BTCBUSDPerp,15,7,4.96,0.0,0.01,3,3,50.0,6.6,14.8,4.94,6.59,19.79,14.83,1.33
0,15,BTCBUSDPerp,15,8,3.42,0.0,0.01,3,3,50.0,6.09,13.26,4.94,6.59,18.26,14.83,1.23
0,16,BTCBUSDPerp,30,1,-452.94,-0.45,0.52,123,295,29.43,8.22,36.98,4.96,33.88,1011.01,1463.95,0.69
