,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-700.16,-0.7,0.72,251,819,23.46,1.89,16.66,1.43,46.41,473.7,1173.85,0.4
0,1,BTCBUSDPerp,5,2,-695.8,-0.7,0.71,257,813,24.02,1.83,15.62,1.43,46.41,469.85,1165.65,0.4
0,2,BTCBUSDPerp,5,3,-468.76,-0.47,0.47,155,536,22.43,1.94,16.66,1.44,46.41,301.28,770.04,0.39
0,3,BTCBUSDPerp,5,4,-464.94,-0.46,0.47,161,530,23.3,1.84,15.62,1.44,46.42,296.33,761.27,0.39
0,4,BTCBUSDPerp,15,1,-392.18,-0.39,0.43,305,605,33.52,4.49,39.08,2.91,37.75,1369.01,1761.19,0.78
0,5,BTCBUSDPerp,15,2,-384.56,-0.38,0.43,309,601,33.96,4.44,39.09,2.92,37.75,1371.55,1756.12,0.78
0,6,BTCBUSDPerp,15,3,-274.71,-0.27,0.33,232,440,34.52,4.43,39.13,2.96,37.79,1026.91,1301.62,0.79
0,7,BTCBUSDPerp,15,4,-289.88,-0.29,0.35,233,439,34.67,4.34,39.13,2.96,37.79,1010.98,1300.86,0.78
0,8,BTCBUSDPerp,30,1,-94.46,-0.09,0.28,218,414,34.49,8.94,59.88,4.94,38.39,1949.28,2043.74,0.95
0,9,BTCBUSDPerp,30,2,-125.4,-0.13,0.29,218,414,34.49,8.77,59.86,4.92,38.39,1912.37,2037.77,0.94
0,10,BTCBUSDPerp,30,3,77.25,0.08,0.14,143,266,34.96,9.68,59.93,4.92,38.45,1384.81,1307.56,1.06
0,11,BTCBUSDPerp,30,4,30.95,0.03,0.14,142,267,34.72,9.4,59.92,4.88,38.45,1334.31,1303.37,1.02
0,12,BTCBUSDPerp,60,1,-182.65,-0.18,0.45,118,184,39.07,12.41,77.85,8.95,86.35,1464.45,1647.11,0.89
0,13,BTCBUSDPerp,60,2,-154.05,-0.15,0.43,119,183,39.4,12.54,77.85,9.0,86.36,1492.67,1646.72,0.91
0,14,BTCBUSDPerp,60,3,-269.07,-0.27,0.4,77,116,39.9,11.69,77.82,10.08,86.3,900.4,1169.47,0.77
0,15,BTCBUSDPerp,60,4,-238.38,-0.24,0.38,77,116,39.9,12.09,77.81,10.08,86.32,931.19,1169.58,0.8
0,16,BTCBUSDPerp,120,1,-262.52,-0.26,0.41,56,105,34.78,15.89,95.24,10.98,51.58,889.91,1152.43,0.77
0,17,BTCBUSDPerp,120,2,-270.44,-0.27,0.39,56,105,34.78,15.74,68.39,10.97,51.57,881.68,1152.11,0.77
0,18,BTCBUSDPerp,120,3,-262.79,-0.26,0.37,41,75,35.34,16.05,95.21,12.28,51.57,657.94,920.74,0.71
0,19,BTCBUSDPerp,120,4,-269.11,-0.27,0.35,41,75,35.34,15.89,68.36,12.27,51.56,651.38,920.49,0.71
