,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-464.45,-0.46,0.49,157,526,22.99,1.86,12.0,1.44,9.2,291.57,756.01,0.39
0,1,BTCBUSDPerp,5,2,-484.88,-0.48,0.51,160,539,22.89,1.77,12.0,1.43,9.2,283.99,768.87,0.37
0,2,BTCBUSDPerp,5,3,-511.33,-0.51,0.52,166,534,23.71,1.57,11.18,1.45,9.2,261.35,772.68,0.34
0,3,BTCBUSDPerp,5,4,-489.8,-0.49,0.51,163,556,22.67,1.89,12.0,1.43,9.18,307.74,797.54,0.39
0,4,BTCBUSDPerp,5,5,-522.42,-0.52,0.54,169,569,22.9,1.7,12.0,1.42,9.18,287.85,810.27,0.36
0,5,BTCBUSDPerp,5,6,-542.6,-0.54,0.55,174,567,23.48,1.6,11.18,1.45,9.18,278.78,821.38,0.34
0,6,BTCBUSDPerp,5,7,-563.85,-0.56,0.58,171,614,21.78,1.92,12.95,1.45,8.8,329.17,893.02,0.37
0,7,BTCBUSDPerp,5,8,-600.39,-0.6,0.62,177,633,21.85,1.75,12.0,1.44,8.8,310.62,911.01,0.34
0,8,BTCBUSDPerp,5,9,-626.32,-0.63,0.63,178,634,21.92,1.66,11.18,1.45,8.79,295.38,921.7,0.32
0,9,BTCBUSDPerp,5,10,-207.45,-0.21,0.22,93,266,25.91,1.78,11.18,1.4,9.2,165.81,373.26,0.44
0,10,BTCBUSDPerp,5,11,-229.25,-0.23,0.24,91,273,25.0,1.62,11.18,1.38,9.2,147.5,376.74,0.39
0,11,BTCBUSDPerp,5,12,-243.64,-0.24,0.26,91,270,25.21,1.48,11.18,1.4,9.2,134.55,378.18,0.36
0,12,BTCBUSDPerp,5,13,-218.8,-0.22,0.23,94,281,25.07,1.85,11.18,1.4,9.18,173.74,392.54,0.44
0,13,BTCBUSDPerp,5,14,-249.32,-0.25,0.26,93,289,24.35,1.59,11.18,1.37,9.18,147.61,396.94,0.37
0,14,BTCBUSDPerp,5,15,-253.72,-0.25,0.27,96,285,25.2,1.53,11.18,1.41,9.18,147.22,400.94,0.37
0,15,BTCBUSDPerp,5,16,-277.97,-0.28,0.29,99,324,23.4,1.9,11.18,1.44,8.64,188.07,466.04,0.4
0,16,BTCBUSDPerp,5,17,-309.94,-0.31,0.32,99,336,22.76,1.68,11.18,1.42,8.64,166.41,476.35,0.35
0,17,BTCBUSDPerp,5,18,-318.3,-0.32,0.33,100,333,23.09,1.62,11.18,1.44,8.64,162.01,480.31,0.34
0,18,BTCBUSDPerp,15,1,-444.35,-0.44,0.46,199,450,30.66,4.62,45.24,3.03,30.2,919.27,1363.62,0.67
0,19,BTCBUSDPerp,15,2,-524.36,-0.52,0.54,205,475,30.15,4.43,45.23,3.02,30.2,908.91,1433.27,0.63
0,20,BTCBUSDPerp,15,3,-584.02,-0.58,0.6,213,478,30.82,4.04,26.37,3.02,30.2,860.47,1444.49,0.6
0,21,BTCBUSDPerp,15,4,-601.39,-0.6,0.62,211,485,30.32,4.51,45.2,3.2,64.89,951.74,1553.13,0.61
0,22,BTCBUSDPerp,15,5,-669.4,-0.67,0.68,220,512,30.05,4.32,45.19,3.17,64.85,951.15,1620.55,0.59
0,23,BTCBUSDPerp,15,6,-781.47,-0.78,0.79,224,519,30.15,3.9,26.35,3.19,64.78,872.92,1654.39,0.53
0,24,BTCBUSDPerp,15,7,-657.53,-0.66,0.67,249,528,32.05,4.23,45.19,3.24,46.3,1052.83,1710.35,0.62
0,25,BTCBUSDPerp,15,8,-737.98,-0.74,0.75,256,557,31.49,4.11,45.16,3.21,46.26,1052.39,1790.36,0.59
0,26,BTCBUSDPerp,15,9,-779.44,-0.78,0.79,265,573,31.62,3.99,26.87,3.2,46.25,1056.73,1836.17,0.58
0,27,BTCBUSDPerp,15,10,-328.07,-0.33,0.33,110,263,29.49,4.01,18.44,2.93,30.2,441.53,769.6,0.57
0,28,BTCBUSDPerp,15,11,-368.07,-0.37,0.37,109,277,28.24,3.95,18.44,2.88,30.2,430.81,798.88,0.54
0,29,BTCBUSDPerp,15,12,-367.41,-0.37,0.37,113,275,29.12,3.78,16.76,2.89,30.2,426.59,794.0,0.54
0,30,BTCBUSDPerp,15,13,-347.49,-0.35,0.35,117,283,29.25,4.21,18.71,2.97,30.2,492.4,839.89,0.59
0,31,BTCBUSDPerp,15,14,-374.61,-0.37,0.38,121,298,28.88,4.01,18.71,2.89,30.2,485.55,860.16,0.56
0,32,BTCBUSDPerp,15,15,-418.45,-0.42,0.42,123,298,29.22,3.66,16.94,2.92,30.2,450.43,868.88,0.52
0,33,BTCBUSDPerp,15,16,-363.41,-0.36,0.37,137,309,30.72,3.88,18.44,2.9,30.04,531.59,894.99,0.59
0,34,BTCBUSDPerp,15,17,-420.61,-0.42,0.42,142,324,30.47,3.57,18.43,2.86,30.03,506.37,926.99,0.55
0,35,BTCBUSDPerp,15,18,-411.07,-0.41,0.41,147,324,31.21,3.49,17.39,2.85,30.04,513.59,924.66,0.56
0,36,BTCBUSDPerp,30,1,-237.74,-0.24,0.34,159,290,35.41,8.52,54.46,5.49,39.07,1354.98,1592.73,0.85
0,37,BTCBUSDPerp,30,2,-242.51,-0.24,0.32,163,297,35.43,8.49,41.46,5.48,39.06,1384.55,1627.06,0.85
0,38,BTCBUSDPerp,30,3,-246.22,-0.25,0.35,169,297,36.27,8.34,48.42,5.58,39.04,1410.21,1656.43,0.85
0,39,BTCBUSDPerp,30,4,-401.01,-0.4,0.47,164,314,34.31,8.16,53.43,5.54,41.26,1338.79,1739.8,0.77
0,40,BTCBUSDPerp,30,5,-372.07,-0.37,0.42,170,328,34.14,8.28,41.45,5.42,41.27,1407.03,1779.1,0.79
0,41,BTCBUSDPerp,30,6,-386.34,-0.39,0.43,177,330,34.91,8.27,48.4,5.61,41.26,1464.35,1850.69,0.79
0,42,BTCBUSDPerp,30,7,-500.31,-0.5,0.55,184,345,34.78,7.98,53.41,5.71,41.24,1469.17,1969.48,0.75
0,43,BTCBUSDPerp,30,8,-515.28,-0.52,0.57,190,362,34.42,7.92,43.0,5.58,41.22,1505.56,2020.85,0.75
0,44,BTCBUSDPerp,30,9,-499.85,-0.5,0.56,200,370,35.09,7.93,49.96,5.64,41.23,1586.05,2085.9,0.76
0,45,BTCBUSDPerp,30,10,-185.9,-0.19,0.34,96,174,35.56,7.92,48.74,5.44,27.8,759.88,945.79,0.8
0,46,BTCBUSDPerp,30,11,-101.25,-0.1,0.29,100,176,36.23,8.49,41.48,5.4,27.81,849.49,950.74,0.89
0,47,BTCBUSDPerp,30,12,-83.85,-0.08,0.26,101,170,37.27,8.47,48.45,5.53,27.8,855.73,939.57,0.91
0,48,BTCBUSDPerp,30,13,-265.49,-0.27,0.41,102,184,35.66,7.47,48.74,5.59,41.35,762.26,1027.75,0.74
0,49,BTCBUSDPerp,30,14,-200.69,-0.2,0.37,105,193,35.23,8.02,41.48,5.4,41.36,841.96,1042.65,0.81
0,50,BTCBUSDPerp,30,15,-181.24,-0.18,0.35,107,186,36.52,8.1,48.45,5.63,41.36,866.78,1048.02,0.83
0,51,BTCBUSDPerp,30,16,-291.12,-0.29,0.4,117,198,37.14,7.0,48.73,5.61,41.33,819.24,1110.36,0.74
0,52,BTCBUSDPerp,30,17,-209.16,-0.21,0.35,121,206,37.0,7.54,43.05,5.45,41.35,912.78,1121.94,0.81
0,53,BTCBUSDPerp,30,18,-129.32,-0.13,0.31,127,202,38.6,7.69,50.04,5.48,41.38,976.91,1106.24,0.88
0,54,BTCBUSDPerp,60,1,79.53,0.08,0.17,100,128,43.86,11.04,50.34,8.0,62.66,1104.04,1024.51,1.08
0,55,BTCBUSDPerp,60,2,75.48,0.08,0.18,96,131,42.29,11.26,79.43,7.68,62.66,1081.38,1005.9,1.08
0,56,BTCBUSDPerp,60,3,7.5,0.01,0.2,96,136,41.38,10.82,69.04,7.58,62.66,1038.72,1031.22,1.01
0,57,BTCBUSDPerp,60,4,38.52,0.04,0.23,111,146,43.19,11.2,50.34,8.25,62.65,1242.7,1204.18,1.03
0,58,BTCBUSDPerp,60,5,21.72,0.02,0.24,108,147,42.35,11.14,82.37,8.04,62.64,1203.44,1181.72,1.02
