,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-285.41,-0.29,0.29,124,333,27.13,1.96,24.28,1.59,14.58,243.42,528.82,0.46
0,1,BTCBUSDPerp,5,2,-446.11,-0.45,0.45,177,527,25.14,2.1,24.28,1.55,14.58,370.89,817.0,0.45
0,2,BTCBUSDPerp,5,3,-529.23,-0.53,0.54,247,699,26.11,1.97,24.28,1.45,14.58,487.65,1016.88,0.48
0,3,BTCBUSDPerp,5,4,-150.45,-0.15,0.15,76,208,26.76,2.06,24.28,1.47,9.42,156.31,306.75,0.51
0,4,BTCBUSDPerp,5,5,-247.72,-0.25,0.25,110,338,24.55,2.32,24.28,1.49,12.51,255.21,502.93,0.51
0,5,BTCBUSDPerp,5,6,-290.98,-0.29,0.3,153,449,25.42,2.16,24.28,1.38,12.51,330.11,621.09,0.53
0,6,BTCBUSDPerp,5,7,-285.41,-0.29,0.29,124,333,27.13,1.96,24.28,1.59,14.58,243.42,528.82,0.46
0,7,BTCBUSDPerp,5,8,-448.27,-0.45,0.45,177,528,25.11,2.1,24.28,1.55,14.58,370.89,819.16,0.45
0,8,BTCBUSDPerp,5,9,-529.23,-0.53,0.54,247,699,26.11,1.97,24.28,1.45,14.58,487.65,1016.88,0.48
0,9,BTCBUSDPerp,5,10,-150.45,-0.15,0.15,76,208,26.76,2.06,24.28,1.47,9.42,156.31,306.75,0.51
0,10,BTCBUSDPerp,5,11,-247.72,-0.25,0.25,110,338,24.55,2.32,24.28,1.49,12.51,255.21,502.93,0.51
0,11,BTCBUSDPerp,5,12,-290.98,-0.29,0.3,153,449,25.42,2.16,24.28,1.38,12.51,330.11,621.09,0.53
0,12,BTCBUSDPerp,15,1,-84.24,-0.08,0.16,135,212,38.9,5.96,56.32,4.19,24.71,804.01,888.25,0.91
0,13,BTCBUSDPerp,15,2,-254.92,-0.25,0.31,206,351,36.98,5.28,56.32,3.83,42.75,1087.69,1342.61,0.81
0,14,BTCBUSDPerp,15,3,-378.83,-0.38,0.42,289,500,36.63,4.71,56.27,3.48,42.69,1361.25,1740.08,0.78
0,15,BTCBUSDPerp,15,4,-62.9,-0.06,0.14,104,167,38.38,6.68,56.33,4.54,24.71,694.96,757.85,0.92
0,16,BTCBUSDPerp,15,5,-260.55,-0.26,0.29,149,270,35.56,5.7,56.33,4.11,42.75,848.89,1109.45,0.77
0,17,BTCBUSDPerp,15,6,-344.77,-0.34,0.37,212,381,35.75,5.12,56.3,3.75,42.71,1085.81,1430.58,0.76
0,18,BTCBUSDPerp,15,7,-84.24,-0.08,0.16,135,212,38.9,5.96,56.32,4.19,24.71,804.01,888.25,0.91
0,19,BTCBUSDPerp,15,8,-254.92,-0.25,0.31,206,351,36.98,5.28,56.32,3.83,42.75,1087.69,1342.61,0.81
0,20,BTCBUSDPerp,15,9,-378.83,-0.38,0.42,289,500,36.63,4.71,56.27,3.48,42.69,1361.25,1740.08,0.78
0,21,BTCBUSDPerp,15,10,-62.9,-0.06,0.14,104,167,38.38,6.68,56.33,4.54,24.71,694.96,757.85,0.92
0,22,BTCBUSDPerp,15,11,-260.55,-0.26,0.29,149,270,35.56,5.7,56.33,4.11,42.75,848.89,1109.45,0.77
0,23,BTCBUSDPerp,15,12,-344.77,-0.34,0.37,212,381,35.75,5.12,56.3,3.75,42.71,1085.81,1430.58,0.76
0,24,BTCBUSDPerp,30,1,64.32,0.06,0.17,83,137,37.73,11.64,53.67,6.58,41.34,966.38,902.06,1.07
0,25,BTCBUSDPerp,30,2,-196.28,-0.2,0.46,131,237,35.6,10.17,53.69,6.45,42.01,1332.5,1528.79,0.87
0,26,BTCBUSDPerp,30,3,-229.39,-0.23,0.39,181,342,34.61,9.23,53.63,5.55,41.99,1670.2,1899.59,0.88
0,27,BTCBUSDPerp,30,4,80.08,0.08,0.14,61,92,39.87,12.47,53.64,7.4,41.32,760.7,680.62,1.12
0,28,BTCBUSDPerp,30,5,-176.27,-0.18,0.36,95,161,37.11,10.74,53.65,7.43,42.02,1020.45,1196.72,0.85
0,29,BTCBUSDPerp,30,6,-148.23,-0.15,0.28,130,227,36.41,9.98,53.63,6.37,42.02,1296.85,1445.08,0.9
0,30,BTCBUSDPerp,30,7,64.32,0.06,0.17,83,137,37.73,11.64,53.67,6.58,41.34,966.38,902.06,1.07
0,31,BTCBUSDPerp,30,8,-196.28,-0.2,0.46,131,237,35.6,10.17,53.69,6.45,42.01,1332.5,1528.79,0.87
0,32,BTCBUSDPerp,30,9,-229.39,-0.23,0.39,181,342,34.61,9.23,53.63,5.55,41.99,1670.2,1899.59,0.88
0,33,BTCBUSDPerp,30,10,80.08,0.08,0.14,61,92,39.87,12.47,53.64,7.4,41.32,760.7,680.62,1.12
0,34,BTCBUSDPerp,30,11,-176.27,-0.18,0.36,95,161,37.11,10.74,53.65,7.43,42.02,1020.45,1196.72,0.85
0,35,BTCBUSDPerp,30,12,-148.23,-0.15,0.28,130,227,36.41,9.98,53.63,6.37,42.02,1296.85,1445.08,0.9
0,36,BTCBUSDPerp,60,1,96.69,0.1,0.19,35,65,35.0,19.88,84.17,9.22,48.07,695.74,599.05,1.16
0,37,BTCBUSDPerp,60,2,72.71,0.07,0.14,56,109,33.94,17.34,76.88,8.24,39.63,970.97,898.26,1.08
0,38,BTCBUSDPerp,60,3,249.46,0.25,0.21,84,154,35.29,17.55,103.61,7.95,39.72,1474.23,1224.77,1.2
0,39,BTCBUSDPerp,60,4,66.52,0.07,0.17,26,47,35.62,20.68,84.2,10.03,48.09,537.73,471.21,1.14
0,40,BTCBUSDPerp,60,5,76.65,0.08,0.14,42,71,37.17,16.81,76.96,8.86,39.66,706.05,629.4,1.12
0,41,BTCBUSDPerp,60,6,210.53,0.21,0.24,58,106,35.37,18.87,103.66,8.34,39.73,1094.28,883.75,1.24
0,42,BTCBUSDPerp,60,7,96.69,0.1,0.19,35,65,35.0,19.88,84.17,9.22,48.07,695.74,599.05,1.16
0,43,BTCBUSDPerp,60,8,72.71,0.07,0.14,56,109,33.94,17.34,76.88,8.24,39.63,970.97,898.26,1.08
0,44,BTCBUSDPerp,60,9,249.46,0.25,0.21,84,154,35.29,17.55,103.61,7.95,39.72,1474.23,1224.77,1.2
0,45,BTCBUSDPerp,60,10,66.52,0.07,0.17,26,47,35.62,20.68,84.2,10.03,48.09,537.73,471.21,1.14
0,46,BTCBUSDPerp,60,11,76.65,0.08,0.14,42,71,37.17,16.81,76.96,8.86,39.66,706.05,629.4,1.12
0,47,BTCBUSDPerp,60,12,210.53,0.21,0.24,58,106,35.37,18.87,103.66,8.34,39.73,1094.28,883.75,1.24
0,48,BTCBUSDPerp,120,1,251.22,0.25,0.08,24,28,46.15,24.59,103.41,12.11,33.11,590.27,339.05,1.74
0,49,BTCBUSDPerp,120,2,116.82,0.12,0.13,34,48,41.46,21.4,86.19,12.73,37.41,727.7,610.89,1.19
0,50,BTCBUSDPerp,120,3,58.87,0.06,0.21,47,73,39.17,19.95,86.22,12.04,52.01,937.52,878.65,1.07
0,51,BTCBUSDPerp,120,4,251.4,0.25,0.08,23,24,48.94,24.79,103.39,13.28,33.1,570.15,318.74,1.79
0,52,BTCBUSDPerp,120,5,77.17,0.08,0.1,31,42,42.47,21.13,86.16,13.76,37.4,655.16,578.0,1.13
0,53,BTCBUSDPerp,120,6,6.0,0.01,0.17,40,59,40.4,19.59,86.19,13.18,52.01,783.47,777.47,1.01
