,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-377.75,-0.38,0.39,32,279,10.29,4.92,26.22,1.92,17.94,157.36,535.11,0.29
0,1,BTCBUSDPerp,5,2,-464.68,-0.46,0.46,47,343,12.05,4.4,26.21,1.96,20.2,206.62,671.29,0.31
0,2,BTCBUSDPerp,5,3,-455.14,-0.46,0.46,52,365,12.47,4.52,26.21,1.89,20.2,235.01,690.16,0.34
0,3,BTCBUSDPerp,5,4,-482.91,-0.48,0.49,60,398,13.1,4.62,26.21,1.91,20.2,277.09,760.0,0.36
0,4,BTCBUSDPerp,15,1,-260.19,-0.26,0.35,36,200,15.25,15.36,43.25,4.07,24.85,552.85,813.04,0.68
0,5,BTCBUSDPerp,15,2,-375.65,-0.38,0.43,45,278,13.93,15.28,43.24,3.82,24.85,687.56,1063.21,0.65
0,6,BTCBUSDPerp,15,3,-335.72,-0.34,0.39,47,286,14.11,15.68,43.26,3.75,19.67,736.77,1072.49,0.69
0,7,BTCBUSDPerp,15,4,-345.58,-0.35,0.41,57,314,15.36,14.83,43.24,3.79,19.67,845.18,1190.77,0.71
0,8,BTCBUSDPerp,30,1,-465.03,-0.47,0.53,21,140,13.04,31.11,74.34,7.99,30.68,653.26,1118.29,0.58
0,9,BTCBUSDPerp,30,2,-508.2,-0.51,0.52,30,201,12.99,31.06,74.42,7.16,30.7,931.78,1439.98,0.65
0,10,BTCBUSDPerp,30,3,-562.37,-0.56,0.59,31,204,13.19,30.37,74.39,7.37,30.69,941.33,1503.7,0.63
0,11,BTCBUSDPerp,30,4,-657.39,-0.66,0.67,35,230,13.21,29.94,74.33,7.42,30.66,1048.07,1705.45,0.61
0,12,BTCBUSDPerp,60,1,391.32,0.39,0.11,19,60,24.05,51.05,146.82,9.64,28.66,969.98,578.66,1.68
0,13,BTCBUSDPerp,60,2,287.26,0.29,0.2,26,92,22.03,43.85,105.57,9.27,37.84,1140.11,852.85,1.34
0,14,BTCBUSDPerp,60,3,244.24,0.24,0.2,26,99,20.8,43.41,105.57,8.93,37.83,1128.71,884.47,1.28
0,15,BTCBUSDPerp,60,4,223.62,0.22,0.19,28,105,21.05,42.2,105.57,9.12,30.11,1181.56,957.94,1.23
0,16,BTCBUSDPerp,120,1,-45.28,-0.05,0.25,5,30,14.29,79.22,100.86,14.71,38.06,396.09,441.37,0.9
0,17,BTCBUSDPerp,120,2,-56.11,-0.06,0.36,8,41,16.33,72.34,130.58,15.48,38.1,578.71,634.82,0.91
0,18,BTCBUSDPerp,120,3,-71.64,-0.07,0.37,8,42,16.0,72.33,130.58,15.48,38.1,578.63,650.27,0.89
0,19,BTCBUSDPerp,120,4,-90.89,-0.09,0.38,9,45,16.67,69.25,130.58,15.87,38.1,623.21,714.1,0.87
0,20,BTCBUSDPerp,240,1,-72.09,-0.07,0.2,3,16,15.79,72.56,96.97,18.11,48.82,217.68,289.77,0.75
0,21,BTCBUSDPerp,240,2,201.67,0.2,0.25,6,20,23.08,101.08,202.34,20.24,49.97,606.5,404.83,1.5
0,22,BTCBUSDPerp,240,3,182.79,0.18,0.27,6,21,22.22,101.06,202.34,20.17,49.97,606.36,423.57,1.43
0,23,BTCBUSDPerp,240,4,294.64,0.29,0.18,8,25,24.24,90.33,202.33,17.12,49.97,722.62,427.99,1.69
0,24,BTCBUSDPerp,360,1,94.11,0.09,0.09,2,7,22.22,119.58,131.78,20.72,53.39,239.16,145.04,1.65
0,25,BTCBUSDPerp,360,2,135.17,0.14,0.09,3,8,27.27,103.87,131.78,22.06,53.39,311.62,176.45,1.77
0,26,BTCBUSDPerp,360,3,104.71,0.1,0.09,3,9,25.0,103.86,131.78,22.99,53.39,311.59,206.88,1.51
0,27,BTCBUSDPerp,360,4,-135.97,-0.14,0.28,3,16,15.79,103.67,131.56,27.94,112.82,311.01,446.98,0.7
0,28,ETHBUSDPerp,5,1,-200.97,-0.2,0.22,36,261,12.12,9.91,31.7,2.14,14.0,356.74,557.71,0.64
0,29,ETHBUSDPerp,5,2,-274.45,-0.27,0.28,55,346,13.72,8.77,31.69,2.19,14.0,482.55,757.0,0.64
0,30,ETHBUSDPerp,5,3,-281.92,-0.28,0.29,58,356,14.01,8.51,31.69,2.18,14.0,493.86,775.78,0.64
0,31,ETHBUSDPerp,5,4,-267.23,-0.27,0.28,67,384,14.86,8.48,36.07,2.17,14.0,567.84,835.07,0.68
0,32,ETHBUSDPerp,15,1,-201.94,-0.2,0.25,33,186,15.07,24.16,73.86,5.37,30.98,797.44,999.38,0.8
0,33,ETHBUSDPerp,15,2,-178.63,-0.18,0.26,53,253,17.32,21.53,73.81,5.22,32.78,1141.06,1319.69,0.86
0,34,ETHBUSDPerp,15,3,-171.55,-0.17,0.24,55,265,17.19,21.8,73.83,5.17,32.78,1199.21,1370.76,0.87
0,35,ETHBUSDPerp,15,4,-150.54,-0.15,0.27,63,293,17.7,21.75,73.8,5.19,32.8,1370.21,1520.76,0.9
0,36,ETHBUSDPerp,30,1,-543.98,-0.54,0.63,20,134,12.99,34.46,63.25,9.2,43.58,689.16,1233.14,0.56
0,37,ETHBUSDPerp,30,2,-408.45,-0.41,0.6,26,166,13.54,38.74,71.28,8.53,38.08,1007.22,1415.67,0.71
0,38,ETHBUSDPerp,30,3,-456.17,-0.46,0.64,27,172,13.57,38.41,71.25,8.68,38.06,1037.02,1493.19,0.69
0,39,ETHBUSDPerp,30,4,-486.95,-0.49,0.7,31,195,13.72,36.62,71.21,8.32,38.04,1135.09,1622.04,0.7
0,40,ETHBUSDPerp,60,1,-183.47,-0.18,0.26,6,52,10.34,69.32,97.69,11.53,30.92,415.92,599.39,0.69
0,41,ETHBUSDPerp,60,2,-3.52,-0.0,0.23,15,75,16.67,54.06,97.86,10.86,30.97,810.94,814.46,1.0
0,42,ETHBUSDPerp,60,3,87.87,0.09,0.17,16,73,17.98,56.64,97.86,11.21,30.97,906.26,818.39,1.11
0,43,ETHBUSDPerp,60,4,-44.0,-0.04,0.29,16,85,15.84,55.07,97.84,10.88,48.44,881.04,925.04,0.95
0,44,ETHBUSDPerp,120,1,-109.8,-0.11,0.33,4,29,12.12,79.42,98.67,14.74,48.38,317.66,427.46,0.74
0,45,ETHBUSDPerp,120,2,106.35,0.11,0.37,8,41,16.33,86.39,133.5,14.26,48.49,691.08,584.73,1.18
0,46,ETHBUSDPerp,120,3,340.43,0.34,0.37,10,42,19.23,93.55,159.2,14.17,48.61,935.48,595.05,1.57
0,47,ETHBUSDPerp,120,4,583.12,0.58,0.28,12,38,24.0,91.58,159.2,13.57,47.25,1098.91,515.79,2.13
0,48,ETHBUSDPerp,240,1,138.8,0.14,0.27,4,13,23.53,105.86,190.35,21.9,69.42,423.44,284.65,1.49
0,49,ETHBUSDPerp,240,2,414.25,0.41,0.16,8,23,25.81,113.95,290.39,21.62,52.76,911.59,497.34,1.83
0,50,ETHBUSDPerp,240,3,421.16,0.42,0.16,8,23,25.81,113.95,290.41,21.32,52.76,911.63,490.47,1.86
0,51,ETHBUSDPerp,240,4,312.48,0.31,0.19,7,25,21.88,118.73,290.1,20.75,52.72,831.14,518.66,1.6
0,52,ETHBUSDPerp,360,1,125.92,0.13,0.19,3,9,25.0,125.8,211.42,27.94,54.9,377.41,251.49,1.5
0,53,ETHBUSDPerp,360,2,57.25,0.06,0.22,3,11,21.43,127.37,211.41,29.53,64.63,382.11,324.86,1.18
0,54,ETHBUSDPerp,360,3,297.3,0.3,0.18,4,11,26.67,155.57,240.16,29.54,64.63,622.27,324.97,1.91
0,55,ETHBUSDPerp,360,4,251.85,0.25,0.22,4,11,26.67,155.54,240.05,33.66,64.62,622.15,370.3,1.68
0,56,BNBBUSDPerp,5,1,-238.94,-0.24,0.24,46,263,14.89,8.0,20.8,2.31,45.05,367.8,606.74,0.61
0,57,BNBBUSDPerp,5,2,-346.29,-0.35,0.35,67,356,15.84,7.16,20.79,2.32,45.03,480.0,826.29,0.58
0,58,BNBBUSDPerp,5,3,-364.47,-0.36,0.36,67,370,15.33,7.22,20.79,2.29,45.02,483.57,848.05,0.57
0,59,BNBBUSDPerp,5,4,-387.41,-0.39,0.39,80,415,16.16,7.14,20.78,2.31,45.04,571.58,958.99,0.6
0,60,BNBBUSDPerp,15,1,-487.14,-0.49,0.52,40,264,13.16,19.71,48.78,4.83,48.22,788.47,1275.61,0.62
0,61,BNBBUSDPerp,15,2,-692.26,-0.69,0.74,49,355,12.13,20.62,48.79,4.8,37.88,1010.41,1702.67,0.59
0,62,BNBBUSDPerp,15,3,-806.71,-0.81,0.85,48,368,11.54,20.18,48.78,4.82,37.83,968.43,1775.14,0.55
0,63,BNBBUSDPerp,15,4,-851.82,-0.85,0.93,54,407,11.71,20.16,77.31,4.77,37.82,1088.48,1940.31,0.56
0,64,BNBBUSDPerp,30,1,-455.41,-0.46,0.6,20,133,13.07,29.82,57.88,7.91,75.26,596.35,1051.76,0.57
0,65,BNBBUSDPerp,30,2,-550.69,-0.55,0.66,27,169,13.78,29.36,58.95,7.95,75.2,792.61,1343.3,0.59
0,66,BNBBUSDPerp,30,3,-632.35,-0.63,0.71,26,182,12.5,30.27,58.92,7.8,75.14,787.09,1419.44,0.55
0,67,BNBBUSDPerp,30,4,-493.26,-0.49,0.61,34,193,14.98,28.49,58.98,7.58,75.23,968.81,1462.07,0.66
0,68,BNBBUSDPerp,60,1,305.02,0.31,0.12,15,37,28.85,47.58,103.57,11.05,33.46,713.77,408.76,1.75
0,69,BNBBUSDPerp,60,2,401.23,0.4,0.12,21,54,28.0,46.52,103.57,10.66,35.81,976.95,575.72,1.7
0,70,BNBBUSDPerp,60,3,429.91,0.43,0.12,23,62,27.06,47.65,103.56,10.74,35.82,1095.97,666.06,1.65
0,71,BNBBUSDPerp,60,4,483.56,0.48,0.13,25,73,25.51,48.12,103.61,9.86,35.84,1203.07,719.51,1.67
0,72,BNBBUSDPerp,120,1,-106.33,-0.11,0.26,3,22,12.0,67.28,80.43,14.01,25.11,201.83,308.15,0.65
0,73,BNBBUSDPerp,120,2,-24.32,-0.02,0.3,9,33,21.43,47.6,80.46,13.72,45.4,428.42,452.73,0.95
0,74,BNBBUSDPerp,120,3,-16.78,-0.02,0.27,9,34,20.93,46.53,80.46,12.81,45.4,418.74,435.52,0.96
0,75,BNBBUSDPerp,120,4,84.63,0.08,0.21,13,36,26.53,45.24,80.46,13.99,45.4,588.12,503.49,1.17
0,76,BNBBUSDPerp,240,1,-123.41,-0.12,0.36,2,12,14.29,92.86,121.61,25.76,113.22,185.73,309.14,0.6
0,77,BNBBUSDPerp,240,2,-280.84,-0.28,0.48,2,18,10.0,92.72,121.42,25.9,113.17,185.44,466.28,0.4
0,78,BNBBUSDPerp,240,3,-279.96,-0.28,0.48,2,18,10.0,92.72,121.42,25.86,113.17,185.44,465.4,0.4
0,79,BNBBUSDPerp,240,4,-332.24,-0.33,0.55,2,21,8.7,101.67,121.33,25.5,113.17,203.34,535.59,0.38
0,80,BNBBUSDPerp,360,1,-43.37,-0.04,0.12,1,6,14.29,74.67,74.67,19.67,39.48,74.67,118.05,0.63
0,81,BNBBUSDPerp,360,2,-116.22,-0.12,0.23,1,10,9.09,77.83,77.83,19.4,52.78,77.83,194.05,0.4
0,82,BNBBUSDPerp,360,3,-112.71,-0.11,0.23,1,10,9.09,81.34,81.34,19.4,52.78,81.34,194.05,0.42
0,83,BNBBUSDPerp,360,4,-221.35,-0.22,0.38,1,10,9.09,85.2,85.2,30.66,104.11,85.2,306.56,0.28
0,84,ADABUSDPerp,5,1,-306.06,-0.31,0.32,34,242,12.32,10.29,21.79,2.71,31.06,349.82,655.88,0.53
0,85,ADABUSDPerp,5,2,-338.0,-0.34,0.36,48,305,13.6,10.13,23.42,2.7,31.06,486.31,824.31,0.59
0,86,ADABUSDPerp,5,3,-348.72,-0.35,0.37,51,317,13.86,10.25,23.42,2.75,31.06,522.86,871.58,0.6
0,87,ADABUSDPerp,5,4,-262.42,-0.26,0.28,67,332,16.79,9.69,23.43,2.75,31.09,649.02,911.43,0.71
0,88,ADABUSDPerp,15,1,-462.52,-0.46,0.5,31,195,13.72,24.22,74.8,6.22,37.9,750.85,1213.36,0.62
